drug,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,main_cluster,max_membership,membership_entropy,cluster_num,cluster,membership_score,display_label,target,pathway,research_area
Levocetirizine (dihydrochloride),0.001938738844220538,0.05150188794032835,0.0012883749593331497,0.0032722332935192482,0.7355777601844445,0.017739162875798794,0.0006272492863858543,0.15627012205694912,0.000930629771760915,0.030853840787259727,cluster_5,0.7355777601844445,0.8980972022670709,5,Cluster_5,0.7355777601844445,Levocetirizine (dihydrochloride),Histamine Receptor,GPCR/G Protein; Immunology/Inflammation; Neuronal Signaling,Endocrinology; Inflammation/Immunology
Liarozole,0.015184750634406073,0.1938357288018587,0.013453173671090253,0.0560651243573702,0.14639008313632407,0.13586849102875417,0.006969455574569554,0.21977380997095125,0.011497887028681666,0.2009614957959939,cluster_8,0.21977380997095125,1.8950291929830128,8,Cluster_8,0.21977380997095125,Liarozole,Cytochrome P450; RAR/RXR,Metabolic Enzyme/Protease; Vitamin D Related/Nuclear Receptor,Cancer; Metabolic Disease; Inflammation/Immunology
Linaclotide,0.0002080609304068117,0.011194986560150368,0.0001441733790958667,0.0003945314353607942,0.9272651423614213,0.002717631673994959,7.027439796459727e-05,0.05405502941225079,0.00010594371638480707,0.0038442261329695764,cluster_5,0.9272651423614213,0.32324060867292664,5,Cluster_5,0.9272651423614213,Linaclotide,Guanylate Cyclase,GPCR/G Protein,Cancer
Lipoic acid,0.003126969345462902,0.4248291635672243,0.002518403624518098,0.009172580980920568,0.07305780362103773,0.20661127505091445,0.001335215928090863,0.23097872672365788,0.0021238706717258346,0.04624599048644752,cluster_2,0.4248291635672243,1.4593286216447219,2,Cluster_2,0.4248291635672243,Lipoic acid,Endogenous Metabolite; Mitochondrial Metabolism; Reactive Oxygen Species,Immunology/Inflammation; Metabolic Enzyme/Protease; NF-ÎºB,Inflammation/Immunology; Cancer
Liranaftate,0.002760035933862938,0.5270415421901422,0.002161256762940079,0.00708615235740344,0.08442138445588877,0.09621062154394833,0.001098646455954881,0.23118197898414325,0.0017150518574309411,0.046323329458285156,cluster_2,0.5270415421901422,1.3353881118509505,2,Cluster_2,0.5270415421901422,Liranaftate,Fungal,Anti-infection,Infection
Lobeline (hydrochloride),0.009616163565832751,0.2024510930285058,0.006837261628797296,0.030088686443100286,0.20304574759340832,0.09885634555584544,0.00402576291177896,0.2721400183444511,0.006481547045260585,0.16645737388301943,cluster_8,0.2721400183444511,1.7675106589955722,8,Cluster_8,0.2721400183444511,Lobeline (hydrochloride),nAChR,Membrane Transporter/Ion Channel; Neuronal Signaling,Neurological Disease
Lonafarnib,0.3563101141869228,0.027110542519766665,0.23673491876920857,0.036621509730884,0.028336947644412292,0.026117498970050983,0.12570090257844702,0.029333685448326166,0.08555684458156076,0.04817703557042074,cluster_1,0.3563101141869228,1.84455867796791,1,Cluster_1,0.3563101141869228,Lonafarnib,Autophagy; Farnesyl Transferase; Ras,Autophagy; GPCR/G Protein; Metabolic Enzyme/Protease,Cancer; Infection
Loratadine,0.06264335090408242,0.012206415451554922,0.36129257686184435,0.027384163416481155,0.01184213599472,0.01251650442317539,0.34482500763504703,0.01267968122218401,0.13326014061433114,0.02135002347657947,cluster_3,0.36129257686184435,1.5742560352781747,3,Cluster_3,0.36129257686184435,Loratadine,Flavivirus; Histamine Receptor,Anti-infection; GPCR/G Protein; Immunology/Inflammation; Neuronal Signaling,Infection; Endocrinology; Inflammation/Immunology; Cancer
Masoprocol,0.044778890272102745,0.10731636778152898,0.07098196669128329,0.20759123142834585,0.08324078112494364,0.10983724308139274,0.039112024930156065,0.10384209504552253,0.06515179362722844,0.1681476060174956,cluster_4,0.20759123142834585,2.1819849895056382,4,Cluster_4,0.20759123142834585,Masoprocol,Lipoxygenase,Metabolic Enzyme/Protease,Metabolic Disease
Mebhydrolin,0.0004923007343268493,0.8647057983201648,0.0003759980069019444,0.001325478582405073,0.014653701057828707,0.03802053355832935,0.00019276888616045557,0.0705134208964272,0.0003070586685942791,0.009412941288861231,cluster_2,0.8647057983201648,0.5624410484926121,2,Cluster_2,0.8647057983201648,Mebhydrolin,Histamine Receptor,GPCR/G Protein; Immunology/Inflammation; Neuronal Signaling,Inflammation/Immunology; Endocrinology
