protein,gene_symbol,display_label,cluster,mean_value,sd_value,max_abs_value,non_na_fraction
Q99707,MTR,MTR,Cluster_4,0.06466963534344236,0.2566075831531856,1.2626791351960804,1.0
P53794,SLC5A3,SLC5A3,Cluster_4,0.12042002204174035,0.20591464732506198,1.2624493683252815,1.0
O95905,ECD,ECD,Cluster_4,-0.1817164527727637,0.24237905773033278,1.2603453553535573,1.0
Q9BTY7,HGH1,HGH1,Cluster_4,-0.01148174235038119,0.26155724929039115,1.257328177078186,1.0
Q96S82,UBL7,UBL7,Cluster_4,-0.011188933486442286,0.23679704657611095,1.2522980127823864,1.0
P60604,UBE2G2,UBE2G2,Cluster_4,-0.04411913186671615,0.2032361299863471,1.245098722777385,1.0
P52757,CHN2,CHN2,Cluster_4,-0.011992760034610006,0.2953706053813838,1.2419408079545242,1.0
Q8TCT7,SPPL2B,SPPL2B,Cluster_4,0.10957455029962576,0.27214185459891754,1.2415627141085466,1.0
O00507,USP9Y,USP9Y,Cluster_4,0.02344850195303328,0.45721005750999605,1.2415582334811486,1.0
Q15014,MORF4L2,MORF4L2,Cluster_4,-0.3757178026551056,0.20799301971668782,1.2407705615807494,1.0
Q8WW01,TSEN15,TSEN15,Cluster_4,-0.0003455250960411262,0.20635846364184135,1.240037285400458,1.0
A6NED2,RCCD1,RCCD1,Cluster_4,-0.055733007242884665,0.21381372303327467,1.2399517889741318,1.0
Q9H204,MED28,MED28,Cluster_4,-0.04601266933299518,0.21284170019611356,1.2393459984670263,1.0
P07203,GPX1,GPX1,Cluster_4,-0.008108438107958159,0.2342665775363552,1.238476754163031,1.0
Q7L3S4,ZNF771,ZNF771,Cluster_4,-0.18045233061134022,0.23682869556083963,1.2363305257145605,1.0
Q14781,CBX2,CBX2,Cluster_4,-0.26179177619300403,0.21652624255550096,1.2360154732297026,1.0
Q9GZU2,PEG3,PEG3,Cluster_4,-0.14447554054747613,0.20783511921842374,1.2342648587558005,1.0
Q9P2Y4,ZNF219,ZNF219,Cluster_4,-0.11852210570103769,0.2056380043708968,1.2335548929427098,1.0
Q9GZT4,SRR,SRR,Cluster_4,0.08111922256872689,0.2031078701775406,1.2332188419168943,1.0
Q9UMR5,PPT2,PPT2,Cluster_4,-0.013162932256085351,0.2690078550935358,1.2330015246713089,1.0
P61218,POLR2F,POLR2F,Cluster_4,-0.04548910334036926,0.30304241190845876,1.2327340564582911,1.0
P26358,DNMT1,DNMT1,Cluster_4,-0.3676656025018856,0.23162563351190085,1.231894184670974,1.0
P83731,RPL24,RPL24,Cluster_4,-0.23711239666000658,0.219745104598655,1.2314839336153725,1.0
Q9BRP1,PDCD2L,PDCD2L,Cluster_4,-0.08977928286774685,0.28206176946085443,1.2297231467863554,1.0
Q86UW7,CADPS2,CADPS2,Cluster_4,-0.09644694240641591,0.2295680051631545,1.229446299275395,1.0
Q8TDP1,RNASEH2C,RNASEH2C,Cluster_4,-0.021215752186504608,0.22232184812940423,1.227194391830995,1.0
P35030,PRSS3,PRSS3,Cluster_4,0.14482765193045774,0.29588673145830313,1.2266197499638911,1.0
Q96RN5,MED15,MED15,Cluster_4,0.03193605647620771,0.24982473109136977,1.2241115182700817,1.0
Q49AR2,C5orf22,C5orf22,Cluster_4,-0.000297218221859943,0.23608282852540996,1.2203914611825937,1.0
Q99807,COQ7,COQ7,Cluster_4,0.03196074904843979,0.2552287267539586,1.2173643145737465,1.0
P57076,CFAP298,CFAP298,Cluster_4,0.04755701131412991,0.24741899466083053,1.2136264523178468,1.0
P50053,KHK,KHK,Cluster_4,-0.01950996329944363,0.20286577083575097,1.2132377156555734,1.0
Q8NEU8,APPL2,APPL2,Cluster_4,0.07213368760943285,0.20007639830569562,1.2108233791550165,1.0
Q01850,CDR2,CDR2,Cluster_4,0.03108617337647447,0.2535441535246143,1.209579500974776,1.0
P30154,PPP2R1B,PPP2R1B,Cluster_4,-0.057251293132893136,0.2507225298075999,1.2090287915452116,1.0
P54105,CLNS1A,CLNS1A,Cluster_4,-0.08663260922783086,0.2574225007449634,1.2089424299233578,1.0
O15360,FANCA,FANCA,Cluster_4,-0.28151876207072396,0.2440625219996701,1.20889630330311,1.0
O95528,SLC2A10,SLC2A10,Cluster_4,0.09962301250635412,0.27496335916136777,1.2043022013487423,1.0
P20336,RAB3A,RAB3A,Cluster_4,-0.10455857750910252,0.22052780036168929,1.203379173245306,1.0
P13284,IFI30,IFI30,Cluster_4,-0.07814186550906949,0.28330254259698445,1.2030258178949431,1.0
Q13608,PEX6,PEX6,Cluster_4,0.3423309124482974,0.26825925644558235,1.2028248311938032,1.0
Q13415,ORC1,ORC1,Cluster_4,-0.11023719846536179,0.20659887884602623,1.2001090757543516,1.0
Q9UKD1,GMEB2,GMEB2,Cluster_4,-0.023036450956106867,0.2511848929990048,1.1988907748793274,1.0
Q13129,RLF,RLF,Cluster_4,0.04807942456591142,0.22167715039248925,1.1986601696801458,1.0
Q9BTT4,MED10,MED10,Cluster_4,-0.059126075098640325,0.22367827059790363,1.1961619676339197,1.0
Q9NRY2,INIP,INIP,Cluster_4,0.5680040357392793,0.3788439268590354,1.195155729575486,1.0
P43694,GATA4,GATA4,Cluster_4,-0.0755883003348682,0.2373015188552472,1.192298714943341,1.0
P48436,SOX9,SOX9,Cluster_4,0.06904248636697155,0.26613170975127065,1.1898340004627954,1.0
Q9BV68,RNF126,RNF126,Cluster_4,-0.0641243661410857,0.21538157365167931,1.1890425487045275,1.0
Q8N3Z6,ZCCHC7,ZCCHC7,Cluster_4,-0.2953429357148557,0.20454152856710428,1.1869549296887918,1.0
P53671,LIMK2,LIMK2,Cluster_4,-0.04819471592106311,0.23027009202877233,1.1858048928506228,1.0
Q13112,CHAF1B,CHAF1B,Cluster_4,-9.542738288116898e-05,0.24741465360643108,1.1852603230547525,1.0
Q9UBC3,DNMT3B,DNMT3B,Cluster_4,-0.2562905576764654,0.28091612789294096,1.1841289745676669,1.0
Q7Z333,SETX,SETX,Cluster_4,-0.20616202376057816,0.20270848424247065,1.1833595039259135,1.0
Q6ZVD8,PHLPP2,PHLPP2,Cluster_4,-0.1531342919435059,0.5786610187079092,1.181711782829442,1.0
Q92522,H1-10,H1-10,Cluster_4,0.0465953971827683,0.2198363651108172,1.1806057345383216,1.0
Q00266,MAT1A,MAT1A,Cluster_4,0.002755431559847118,0.20645255739847176,1.1805516321886138,1.0
P50895,BCAM,BCAM,Cluster_4,-0.02630124960323234,0.2477545602062558,1.175399191161027,1.0
P78560,CRADD,CRADD,Cluster_4,0.009361465764689722,0.2779099479560895,1.175157556919114,1.0
O00584,RNASET2,RNASET2,Cluster_4,0.3136040105620097,0.294581557644488,1.174184669965733,1.0
P35670,ATP7B,ATP7B,Cluster_4,0.036760104087848855,0.20923751004250818,1.1728170562062434,1.0
Q96GS4,BORCS6,BORCS6,Cluster_4,0.08726846658630778,0.22386165245068848,1.172625871020184,1.0
Q13671,RIN1,RIN1,Cluster_4,0.016368037467260923,0.2207330249390751,1.1720452819227738,1.0
